Match Number,Round Number,Date,Location,Home Team,Away Team,Round Number2,GameNo,gameid_new,,gameid,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
1,1,16/03/2022 19:10,MCG,Melbourne,Western Bulldogs,1,1,2022R0101,,2022R101,2022,R1,16/03/2022,MCG,7:10:00 PM,0,Melbourne,0,Western Bulldogs, , ,,,,,
2,1,17/03/2022 19:25,MCG,Carlton,Richmond,1,2,2022R0102,,2022R102,2022,R1,17/03/2022,MCG,7:25:00 PM,0,Carlton,0,Richmond, , ,,,,,
3,1,18/03/2022 19:50,Marvel Stadium,St Kilda,Collingwood,1,3,2022R0103,,2022R103,2022,R1,18/03/2022,Marvel Stadium,7:50:00 PM,0,St Kilda,0,Collingwood, , ,,,,,
4,1,19/03/2022 14:10,MCG,Geelong Cats,Essendon,1,4,2022R0104,,2022R104,2022,R1,19/03/2022,MCG,2:10:00 PM,0,Geelong Cats,0,Essendon, , ,,,,,
5,1,19/03/2022 17:10,Accor Stadium Australia,GWS Giants,Sydney Swans,1,5,2022R0105,,2022R105,2022,R1,19/03/2022,Accor Stadium Australia,5:10:00 PM,0,GWS Giants,0,Sydney Swans, , ,,,,,
6,1,19/03/2022 20:10,Gabba,Brisbane Lions,Port Adelaide,1,6,2022R0106,,2022R106,2022,R1,19/03/2022,Gabba,8:10:00 PM,0,Brisbane Lions,0,Port Adelaide, , ,,,,,
7,1,20/03/2022 13:10,MCG,Hawthorn,North Melbourne,1,7,2022R0107,,2022R107,2022,R1,20/03/2022,MCG,1:10:00 PM,0,Hawthorn,0,North Melbourne, , ,,,,,
8,1,20/03/2022 16:10,Adelaide Oval,Adelaide Crows,Fremantle,1,8,2022R0108,,2022R108,2022,R1,20/03/2022,Adelaide Oval,4:10:00 PM,0,Adelaide Crows,0,Fremantle, , ,,,,,
9,1,20/03/2022 19:40,Optus Stadium,West Coast Eagles,Gold Coast Suns,1,9,2022R0109,,2022R109,2022,R1,20/03/2022,Optus Stadium,7:40:00 PM,0,West Coast Eagles,0,Gold Coast Suns, , ,,,,,
10,2,24/03/2022 19:20,Marvel Stadium,Western Bulldogs,Carlton,2,1,2022R0201,,2022R201,2022,R2,24/03/2022,Marvel Stadium,7:20:00 PM,0,Western Bulldogs,0,Carlton, , ,,,,,
