gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
2022R101,2022,R1,16/03/2022,MCG,7:10:00 PM,0,Melbourne,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R102,2022,R1,17/03/2022,MCG,7:25:00 PM,0,Carlton,0,Richmond,0,0,not played yet,0,0,0,0
2022R103,2022,R1,18/03/2022,Marvel Stadium,7:50:00 PM,0,St Kilda,0,Collingwood,0,0,not played yet,0,0,0,0
2022R104,2022,R1,19/03/2022,MCG,2:10:00 PM,0,Geelong Cats,0,Essendon,0,0,not played yet,0,0,0,0
2022R105,2022,R1,19/03/2022,Accor Stadium Australia,5:10:00 PM,0,GWS Giants,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R106,2022,R1,19/03/2022,Gabba,8:10:00 PM,0,Brisbane Lions,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R107,2022,R1,20/03/2022,MCG,1:10:00 PM,0,Hawthorn,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R108,2022,R1,20/03/2022,Adelaide Oval,4:10:00 PM,0,Adelaide Crows,0,Fremantle,0,0,not played yet,0,0,0,0
2022R109,2022,R1,20/03/2022,Optus Stadium,7:40:00 PM,0,West Coast Eagles,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R201,2022,R2,24/03/2022,Marvel Stadium,7:20:00 PM,0,Western Bulldogs,0,Carlton,0,0,not played yet,0,0,0,0
2022R202,2022,R2,25/03/2022,SCG,7:50:00 PM,0,Sydney Swans,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R203,2022,R2,26/03/2022,MCG,1:45:00 PM,0,Collingwood,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R204,2022,R2,26/03/2022,Marvel Stadium,4:35:00 PM,0,Essendon,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R205,2022,R2,26/03/2022,Adelaide Oval,7:40:00 PM,0,Port Adelaide,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R206,2022,R2,26/03/2022,Metricon Stadium,8:00:00 PM,0,Gold Coast Suns,0,Melbourne,0,0,not played yet,0,0,0,0
2022R207,2022,R2,27/03/2022,Marvel Stadium,1:10:00 PM,0,North Melbourne,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R208,2022,R2,27/03/2022,MCG,3:20:00 PM,0,Richmond,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R209,2022,R2,27/03/2022,Optus Stadium,6:20:00 PM,0,Fremantle,0,St Kilda,0,0,not played yet,0,0,0,0
2022R301,2022,R3,31/03/2022,Marvel Stadium,7:20:00 PM,0,Western Bulldogs,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R302,2022,R3,1/04/2022,MCG,7:20:00 PM,0,Melbourne,0,Essendon,0,0,not played yet,0,0,0,0
2022R303,2022,R3,1/04/2022,Adelaide Oval,8:20:00 PM,0,Adelaide Crows,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R304,2022,R3,2/04/2022,GIANTS Stadium,1:10:00 PM,0,GWS Giants,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R305,2022,R3,2/04/2022,MCG,7:25:00 PM,0,Collingwood,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R306,2022,R3,2/04/2022,Gabba,8:00:00 PM,0,Brisbane Lions,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R307,2022,R3,3/04/2022,MCG,1:10:00 PM,0,Carlton,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R308,2022,R3,3/04/2022,Marvel Stadium,3:20:00 PM,0,St Kilda,0,Richmond,0,0,not played yet,0,0,0,0
2022R309,2022,R3,3/04/2022,Optus Stadium,6:20:00 PM,0,West Coast Eagles,0,Fremantle,0,0,not played yet,0,0,0,0
2022R401,2022,R4,7/04/2022,Adelaide Oval,7:40:00 PM,0,Port Adelaide,0,Melbourne,0,0,not played yet,0,0,0,0
2022R402,2022,R4,8/04/2022,GMHBA Stadium,7:50:00 PM,0,Geelong Cats,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R403,2022,R4,9/04/2022,SCG,1:45:00 PM,0,Sydney Swans,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R404,2022,R4,9/04/2022,Marvel Stadium,4:35:00 PM,0,Collingwood,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R405,2022,R4,9/04/2022,MCG,7:25:00 PM,0,Richmond,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R406,2022,R4,9/04/2022,Optus Stadium,7:25:00 PM,0,Fremantle,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R407,2022,R4,10/04/2022,Marvel Stadium,1:10:00 PM,0,Essendon,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R408,2022,R4,10/04/2022,MCG,3:20:00 PM,0,Hawthorn,0,St Kilda,0,0,not played yet,0,0,0,0
2022R409,2022,R4,10/04/2022,Metricon Stadium,4:10:00 PM,0,Gold Coast Suns,0,Carlton,0,0,not played yet,0,0,0,0
2022R501,2022,R5,14/04/2022,Gabba,7:35:00 PM,0,Brisbane Lions,0,Collingwood,0,0,not played yet,0,0,0,0
2022R502,2022,R5,15/04/2022,Marvel Stadium,4:20:00 PM,0,North Melbourne,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R503,2022,R5,15/04/2022,Optus Stadium,7:40:00 PM,0,West Coast Eagles,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R504,2022,R5,16/04/2022,Marvel Stadium,1:45:00 PM,0,St Kilda,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R505,2022,R5,16/04/2022,Adelaide Oval,4:35:00 PM,0,Adelaide Crows,0,Richmond,0,0,not played yet,0,0,0,0
2022R506,2022,R5,16/04/2022,MCG,7:25:00 PM,0,Melbourne,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R507,2022,R5,17/04/2022,MCG,1:40:00 PM,0,Carlton,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R508,2022,R5,17/04/2022,Marvel Stadium,4:40:00 PM,0,Essendon,0,Fremantle,0,0,not played yet,0,0,0,0
2022R509,2022,R5,18/04/2022,MCG,3:20:00 PM,0,Hawthorn,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R601,2022,R6,22/04/2022,Manuka Oval,7:50:00 PM,0,GWS Giants,0,St Kilda,0,0,not played yet,0,0,0,0
2022R602,2022,R6,23/04/2022,Mars Stadium,1:45:00 PM,0,Western Bulldogs,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R603,2022,R6,23/04/2022,Adelaide Oval,4:35:00 PM,0,Port Adelaide,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R604,2022,R6,23/04/2022,Optus Stadium,7:40:00 PM,0,Fremantle,0,Carlton,0,0,not played yet,0,0,0,0
2022R605,2022,R6,24/04/2022,Blundstone Arena,1:10:00 PM,0,North Melbourne,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R606,2022,R6,24/04/2022,Metricon Stadium,4:10:00 PM,0,Gold Coast Suns,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R607,2022,R6,24/04/2022,MCG,7:25:00 PM,0,Richmond,0,Melbourne,0,0,not played yet,0,0,0,0
2022R608,2022,R6,25/04/2022,University of Tasmania Stadium,12:30:00 PM,0,Hawthorn,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R609,2022,R6,25/04/2022,MCG,3:20:00 PM,0,Essendon,0,Collingwood,0,0,not played yet,0,0,0,0
2022R701,2022,R7,29/04/2022,Optus Stadium,8:10:00 PM,0,West Coast Eagles,0,Richmond,0,0,not played yet,0,0,0,0
2022R702,2022,R7,30/04/2022,GMHBA Stadium,1:45:00 PM,0,Geelong Cats,0,Fremantle,0,0,not played yet,0,0,0,0
