gameid,team,model_prob_1,model_prob_2,model_odds_1,model_odds_2,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012EF01,Geelong,0.5581910408192453,0.4418089591807547,1.7915013442930237,2.263421732900794,Fremantle,Geelong,Fremantle,2012-09-08,2012,EF,M.C.G.,19:45:00,0,1,111.4,1.32,16,90.0,21.4,28.0,342.2,199.0,96.0,143.2,16.8,7.0,32.6,74.2,28.8,56.2,36.0,47.0,21.8,23.0,140.2,206.8,15.2,14.8,45.2,6.2,10.4
2012EF02,West Coast,0.5051149385541963,0.4948850614458037,1.9797474271149575,2.0206712182390514,West Coast,West Coast,North Melbourne,2012-09-09,2012,EF,Subiaco,13:15:00,1,1,87.4,2.12,12,74.6,12.8,25.4,346.6,196.4,79.8,150.2,12.8,8.2,55.2,55.0,33.2,49.2,39.2,49.0,22.6,21.0,139.4,205.0,11.2,12.0,47.6,16.4,7.8
2012GF01,Hawthorn,0.6358250245471111,0.3641749754528889,1.572759739540427,2.7459327724437887,Sydney,Hawthorn,Sydney,2012-09-29,2012,GF,M.C.G.,14:30:00,0,1,111.6,4.279999999999999,20,83.8,27.8,37.0,372.8,210.4,79.0,162.4,16.2,13.2,37.6,62.0,29.0,61.0,44.2,48.2,17.4,19.4,151.4,222.2,7.0,11.2,61.4,9.2,11.6
2012PF01,Sydney,0.543860376978578,0.4561396230214219,1.838707216649079,2.1923111905431565,Sydney,Sydney,Collingwood,2012-09-21,2012,PF,Stadium Australia,19:50:00,1,1,96.2,0.44000000000000006,8,83.8,12.4,20.6,376.0,204.8,69.8,171.2,14.2,7.2,46.2,74.4,41.8,50.2,39.4,48.2,20.4,17.4,155.8,216.8,11.2,10.2,57.8,12.0,10.8
2012PF02,Hawthorn,0.6169393130887983,0.3830606869112016,1.6209049719871982,2.6105524115864513,Hawthorn,Hawthorn,Adelaide,2012-09-22,2012,PF,M.C.G.,17:15:00,1,1,124.0,4.119999999999999,20,82.8,41.2,52.6,378.4,212.8,83.8,165.6,18.4,12.8,38.4,61.4,29.8,60.8,44.6,44.4,17.2,17.8,147.0,230.6,6.8,12.2,58.8,7.8,13.0
2012QF01,Hawthorn,0.6209344159636542,0.3790655840363458,1.610476041093741,2.6380659234527535,Hawthorn,Hawthorn,Collingwood,2012-09-07,2012,QF,M.C.G.,19:50:00,1,1,120.2,2.1599999999999997,16,87.0,33.2,44.4,373.6,211.4,85.4,162.2,17.8,11.8,42.6,62.8,29.6,58.0,43.2,41.4,19.0,16.8,143.8,230.6,6.2,11.6,52.6,7.4,12.6
2012QF02,Adelaide,0.5801774032667673,0.4198225967332327,1.7236107341812434,2.38195849337626,Sydney,Adelaide,Sydney,2012-09-08,2012,QF,Football Park,14:45:00,0,1,122.2,0.24,16,85.8,36.4,51.0,338.4,219.4,99.6,119.0,17.8,13.0,44.2,56.8,35.0,53.2,39.2,40.4,20.4,18.6,144.6,192.2,14.6,15.4,48.4,5.2,10.8
2012R1001,St Kilda,0.417271778845991,0.582728221154009,2.396519608312849,1.7160658497363395,Richmond,Richmond,Richmond,2012-06-01,2012,R10,Docklands,19:50:00,0,1,99.2,6.840000000000001,12,98.2,1.0,2.4,337.0,204.0,78.0,133.0,14.6,10.2,33.2,70.8,30.4,52.8,39.4,50.6,20.8,21.2,138.8,194.8,9.6,11.8,53.4,12.6,8.4
2012R1002,Geelong,0.7886665328388993,0.2113334671611006,1.2679630215832547,4.731858202268053,Geelong,Geelong,Greater Western Sydney,2012-06-02,2012,R10,Kardinia Park,13:45:00,1,1,89.8,8.48,12,82.0,7.8,18.8,374.4,217.6,91.8,156.8,12.8,10.8,39.4,70.0,33.8,54.2,36.6,48.2,15.4,18.8,138.8,226.2,9.4,11.0,52.0,8.8,8.4
2012R1003,Hawthorn,0.5970548333300011,0.4029451666699989,1.6748880407225262,2.4817272490551368,Hawthorn,Hawthorn,North Melbourne,2012-06-02,2012,R10,York Park,14:10:00,1,1,100.2,6.6,12,88.6,11.6,25.4,382.2,216.2,96.6,166.0,14.0,13.6,37.6,63.4,30.4,55.6,39.2,45.2,16.2,18.8,143.6,241.6,11.4,13.4,50.4,6.2,7.6
2012R1004,Fremantle,0.2685170223170525,0.7314829776829475,3.724158682272464,1.3670858113029638,Adelaide,Adelaide,Adelaide,2012-06-02,2012,R10,Subiaco,14:40:00,0,1,67.4,0.64,8,80.4,-13.0,-28.6,355.2,192.0,83.8,163.2,9.4,8.4,44.8,71.8,34.8,43.6,34.0,41.2,17.8,15.6,137.0,219.2,9.6,7.8,46.0,5.6,7.4
2012R1005,Port Adelaide,0.3011985128817152,0.6988014871182848,3.320069513067994,1.4310215682622494,Port Adelaide,Carlton,Carlton,2012-06-02,2012,R10,Football Park,19:10:00,1,1,81.0,2.2399999999999998,8,90.2,-9.2,-20.8,340.0,187.6,83.6,152.4,12.0,6.8,38.4,66.8,37.8,44.8,35.2,46.2,19.4,17.8,135.8,204.2,8.2,8.6,43.0,14.0,7.8
2012R1006,Essendon,0.8830862426106011,0.1169137573893989,1.1323922305071537,8.553313333941952,Melbourne,Essendon,Melbourne,2012-06-02,2012,R10,M.C.G.,19:40:00,0,1,113.6,4.24,16,71.2,42.4,73.2,391.8,237.0,105.2,154.8,16.6,11.0,40.8,65.6,37.8,58.2,40.6,40.8,18.0,15.8,146.2,240.2,13.0,12.0,49.6,5.8,10.6
2012R1007,Brisbane Lions,0.3630310718763961,0.6369689281236038,2.7545851511588446,1.5699352917352194,Brisbane Lions,West Coast,West Coast,2012-06-03,2012,R10,Gabba,13:10:00,1,1,77.8,8.6,4,95.2,-17.4,-17.6,352.6,201.6,85.4,151.0,11.0,9.4,38.0,69.2,36.0,49.4,33.4,50.8,20.4,18.6,139.8,208.8,6.6,11.0,60.2,4.2,6.8
2012R1008,Sydney,0.4297923518791429,0.5702076481208571,2.326704967242411,1.7537470837080866,Sydney,Western Bulldogs,Western Bulldogs,2012-06-03,2012,R10,S.C.G.,15:15:00,1,1,96.6,5.64,8,81.4,15.2,48.2,347.0,198.2,77.6,148.8,14.2,8.2,32.6,79.8,30.4,56.4,37.0,42.4,19.2,16.0,139.0,204.2,9.6,12.0,51.8,5.8,9.0
2012R1009,Collingwood,0.8534642125361092,0.1465357874638908,1.171695292329192,6.824271512830401,Collingwood,Collingwood,Gold Coast,2012-06-03,2012,R10,M.C.G.,16:40:00,1,1,93.0,6.04,20,69.4,23.6,39.0,391.0,226.4,83.2,164.6,13.4,10.6,38.2,68.2,37.2,56.0,41.2,45.0,15.0,17.4,160.4,226.0,9.2,9.6,56.6,12.0,8.2
2012R1101,Carlton,0.4323622174807179,0.567637782519282,2.3128755464036286,1.7616868200030908,Geelong,Geelong,Geelong,2012-06-08,2012,R11,Docklands,19:50:00,0,1,83.0,2.52,8,87.4,-4.4,1.0,340.6,196.8,78.0,143.8,11.6,10.6,52.2,80.8,30.4,50.8,40.0,44.4,12.6,16.2,146.6,192.0,12.0,12.8,53.8,13.6,7.6
2012R1102,Richmond,0.7659448981999291,0.2340551018000709,1.305576944699457,4.272498195122432,Fremantle,Richmond,Fremantle,2012-06-09,2012,R11,M.C.G.,13:40:00,0,1,109.8,6.0,16,86.4,23.4,37.8,405.4,218.6,96.2,186.8,16.0,11.2,42.4,61.4,30.2,57.4,36.2,45.8,16.4,17.4,143.2,258.0,10.8,13.0,45.0,13.0,11.2
