gameid,team,model_prob_1,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012EF01,Fremantle,0.4342003961481505,Fremantle,Geelong,Geelong,2012-09-08,2012,EF,M.C.G.,19:45:00,1,0,97.8,0.36,12,78.2,19.6,41.2,344.2,218.0,103.2,126.2,14.4,9.4,46.4,60.6,27.8,53.2,36.2,45.2,20.0,18.8,141.8,201.4,12.6,12.4,46.2,5.0,9.0
2012EF01,Geelong,0.5581910408192453,Fremantle,Geelong,Fremantle,2012-09-08,2012,EF,M.C.G.,19:45:00,0,1,111.4,1.32,16,90.0,21.4,28.0,342.2,199.0,96.0,143.2,16.8,7.0,32.6,74.2,28.8,56.2,36.0,47.0,21.8,23.0,140.2,206.8,15.2,14.8,45.2,6.2,10.4
2012EF02,West Coast,0.5051149385541963,West Coast,West Coast,North Melbourne,2012-09-09,2012,EF,Subiaco,13:15:00,1,1,87.4,2.12,12,74.6,12.8,25.4,346.6,196.4,79.8,150.2,12.8,8.2,55.2,55.0,33.2,49.2,39.2,49.0,22.6,21.0,139.4,205.0,11.2,12.0,47.6,16.4,7.8
2012EF02,North Melbourne,0.4871601845889925,West Coast,West Coast,West Coast,2012-09-09,2012,EF,Subiaco,13:15:00,0,0,98.0,1.3599999999999999,16,81.4,16.6,27.8,383.2,216.4,102.8,166.8,14.8,7.0,33.6,62.4,36.0,49.6,33.6,53.0,18.6,22.2,133.4,249.8,8.8,9.6,52.2,20.2,8.8
2012GF01,Hawthorn,0.6358250245471111,Sydney,Hawthorn,Sydney,2012-09-29,2012,GF,M.C.G.,14:30:00,0,1,111.6,4.279999999999999,20,83.8,27.8,37.0,372.8,210.4,79.0,162.4,16.2,13.2,37.6,62.0,29.0,61.0,44.2,48.2,17.4,19.4,151.4,222.2,7.0,11.2,61.4,9.2,11.6
2012GF01,Sydney,0.3570481846333033,Sydney,Hawthorn,Hawthorn,2012-09-29,2012,GF,M.C.G.,14:30:00,1,0,101.4,0.4,12,82.2,19.2,30.2,380.8,208.2,77.2,172.6,15.0,7.8,42.2,71.6,40.4,49.6,40.4,47.6,19.8,16.0,153.2,225.4,13.0,11.6,59.8,10.8,10.8
2012PF01,Collingwood,0.4484825543984343,Sydney,Sydney,Sydney,2012-09-21,2012,PF,Stadium Australia,19:50:00,0,0,78.6,3.3200000000000003,8,93.0,-14.4,-21.2,347.2,217.2,94.6,130.0,11.0,9.8,32.2,64.0,36.6,47.6,36.0,40.6,18.0,15.4,138.0,205.6,12.8,13.6,51.8,11.6,6.6
2012PF01,Sydney,0.543860376978578,Sydney,Sydney,Collingwood,2012-09-21,2012,PF,Stadium Australia,19:50:00,1,1,96.2,0.44000000000000006,8,83.8,12.4,20.6,376.0,204.8,69.8,171.2,14.2,7.2,46.2,74.4,41.8,50.2,39.4,48.2,20.4,17.4,155.8,216.8,11.2,10.2,57.8,12.0,10.8
2012PF02,Hawthorn,0.6169393130887983,Hawthorn,Hawthorn,Adelaide,2012-09-22,2012,PF,M.C.G.,17:15:00,1,1,124.0,4.119999999999999,20,82.8,41.2,52.6,378.4,212.8,83.8,165.6,18.4,12.8,38.4,61.4,29.8,60.8,44.6,44.4,17.2,17.8,147.0,230.6,6.8,12.2,58.8,7.8,13.0
2012PF02,Adelaide,0.3757827407088815,Hawthorn,Hawthorn,Hawthorn,2012-09-22,2012,PF,M.C.G.,17:15:00,0,0,102.2,0.16,12,76.0,26.2,33.0,347.2,218.0,99.6,129.2,14.6,12.8,40.6,55.2,31.8,53.8,35.0,44.6,20.2,19.4,140.6,203.4,12.2,13.2,49.0,8.6,8.6
