gameId,team,year,round,playerId,playerName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50s,Clearances,Clangers,Frees,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Played,Subs
2021R2309,Adelaide,2021,R23,2020665315,"Butts, Jordon",24,9,7,6,2,0,0,0,1,2,1,0,2,0,2,0,2,7,2,0,6,0,0,100,-
2021R2309,Adelaide,2021,R23,2021678665,"Cook, Brayden",3,19,8,2,11,0,0,0,0,0,4,0,1,0,0,0,6,13,0,0,0,1,0,69,-
2021R2309,Adelaide,2021,R23,2019683521,"Davis, Ben",6,10,3,1,7,0,0,0,0,1,1,0,2,1,1,0,4,6,0,0,2,0,0,77,-
2021R2309,Adelaide,2021,R23,2018689604,"Doedee, Tom",51,13,9,2,4,0,0,0,3,1,2,0,4,0,1,0,5,7,1,0,1,1,0,92,-
2021R2309,Adelaide,2021,R23,2018704381,"Fogarty, Darcy",41,6,3,3,3,0,1,0,2,0,1,0,0,1,0,0,3,3,0,1,2,0,1,90,-
2021R2309,Adelaide,2021,R23,2018703883,"Frampton, Billy",18,11,6,5,5,0,0,0,1,5,0,0,3,0,1,0,3,8,1,0,3,0,0,80,-
2021R2309,Adelaide,2021,R23,2021712671,"Gollant, Lachlan",1,11,7,3,4,1,1,0,1,0,3,0,3,1,0,0,6,5,1,2,0,0,0,77,-
2021R2309,Adelaide,2021,R23,2019748529,"Jones, Chayce",38,11,8,3,3,1,1,0,2,1,2,0,4,0,2,0,4,7,1,0,1,1,0,86,-
2021R2309,Adelaide,2021,R23,2016755444,"Keays, Ben",68,38,20,4,18,2,0,0,6,2,10,6,5,3,1,3,13,25,0,2,1,1,2,80,-
2021R2309,Adelaide,2021,R23,2013762245,"Laird, Rory",182,40,14,4,26,0,0,0,8,2,1,10,1,2,0,2,17,24,0,0,0,0,0,80,-
2021R2309,Adelaide,2021,R23,2010763943,"Lynch, Tom",164,23,12,6,11,1,0,0,2,0,2,2,2,0,1,0,8,15,1,1,1,0,0,87,-
2021R2309,Adelaide,2021,R23,2008774238,"Mackay, David",248,19,13,4,6,1,3,0,2,1,5,2,2,0,0,0,8,13,0,2,2,0,2,85,-
2021R2309,Adelaide,2021,R23,2020773834,"McAdam, Shane",28,14,10,8,4,3,0,0,3,0,1,0,2,2,0,0,6,8,3,5,3,0,0,78,-
