team,year,round,gameid,gameid-b,gameid-c,gameid_seq
Adelaide,2021,R23,2021R2309,R2309,R2309,20212309
Adelaide,2021,R22,2021R2207,R2207,R2207,20212207
Adelaide,2021,R21,2021R2104,R2104,R2104,20212104
Adelaide,2021,R20,2021R2002,R2002,R2002,20212002
Adelaide,2021,R19,2021R1906,R1906,R1906,20211906
Adelaide,2021,R18,2021R1808,R1808,R1808,20211808
Adelaide,2021,R17,2021R1702,R1702,R1702,20211702
Adelaide,2021,R16,2021R1604,R1604,R1604,20211604
Adelaide,2021,R15,2021R1509,R1509,R1509,20211509
Adelaide,2021,R13,2021R1304,R1304,R1304,20211304
Adelaide,2021,R12,2021R1203,R1203,R1203,20211203
Adelaide,2021,R11,2021R1107,R1107,R1107,20211107
Adelaide,2021,R10,2021R1004,R1004,R1004,20211004
Adelaide,2021,R9,2021R909,R909,R0909,20210909
Adelaide,2021,R8,2021R806,R806,R0806,20210806
Adelaide,2021,R7,2021R703,R703,R0703,20210703
Adelaide,2021,R6,2021R607,R607,R0607,20210607
Adelaide,2021,R5,2021R507,R507,R0507,20210507
Adelaide,2021,R4,2021R407,R407,R0407,20210407
Adelaide,2021,R3,2021R303,R303,R0303,20210303
Adelaide,2021,R2,2021R203,R203,R0203,20210203
Adelaide,2021,R1,2021R104,R104,R0104,20210104
Adelaide,2020,R18,2020R1804,R1804,R1804,20201804
Adelaide,2020,R17,2020R1706,R1706,R1706,20201706
Adelaide,2020,R16,2020R1606,R1606,R1606,20201606
Adelaide,2020,R15,2020R1501,R1501,R1501,20201501
Adelaide,2020,R13,2020R1306,R1306,R1306,20201306
Adelaide,2020,R12,2020R1206,R1206,R1206,20201206
Adelaide,2020,R11,2020R1107,R1107,R1107,20201107
Adelaide,2020,R10,2020R1004,R1004,R1004,20201004
Adelaide,2020,R9,2020R905,R905,R0905,20200905
Adelaide,2020,R8,2020R806,R806,R0806,20200806
Adelaide,2020,R7,2020R709,R709,R0709,20200709
Adelaide,2020,R6,2020R604,R604,R0604,20200604
Adelaide,2020,R5,2020R507,R507,R0507,20200507
Adelaide,2020,R4,2020R407,R407,R0407,20200407
Adelaide,2020,R3,2020R307,R307,R0307,20200307
Adelaide,2020,R2,2020R205,R205,R0205,20200205
Adelaide,2020,R1,2020R104,R104,R0104,20200104
Adelaide,2019,R23,2019R2307,R2307,R2307,20192307
Adelaide,2019,R22,2019R2204,R2204,R2204,20192204
Adelaide,2019,R21,2019R2109,R2109,R2109,20192109
Adelaide,2019,R20,2019R2006,R2006,R2006,20192006
Adelaide,2019,R19,2019R1903,R1903,R1903,20191903
Adelaide,2019,R18,2019R1801,R1801,R1801,20191801
Adelaide,2019,R17,2019R1705,R1705,R1705,20191705
Adelaide,2019,R16,2019R1604,R1604,R1604,20191604
Adelaide,2019,R15,2019R1502,R1502,R1502,20191502
Adelaide,2019,R13,2019R1301,R1301,R1301,20191301
Adelaide,2019,R12,2019R1204,R1204,R1204,20191204
Adelaide,2019,R11,2019R1106,R1106,R1106,20191106
Adelaide,2019,R10,2019R1004,R1004,R1004,20191004
Adelaide,2019,R9,2019R903,R903,R0903,20190903
Adelaide,2019,R8,2019R806,R806,R0806,20190806
Adelaide,2019,R7,2019R709,R709,R0709,20190709
Adelaide,2019,R6,2019R605,R605,R0605,20190605
Adelaide,2019,R5,2019R508,R508,R0508,20190508
Adelaide,2019,R4,2019R406,R406,R0406,20190406
Adelaide,2019,R3,2019R301,R301,R0301,20190301
Adelaide,2019,R2,2019R202,R202,R0202,20190202
Adelaide,2019,R1,2019R104,R104,R0104,20190104
Adelaide,2018,R23,2018R2305,R2305,R2305,20182305
Adelaide,2018,R22,2018R2209,R2209,R2209,20182209
Adelaide,2018,R21,2018R2105,R2105,R2105,20182105
Adelaide,2018,R20,2018R2004,R2004,R2004,20182004
Adelaide,2018,R19,2018R1906,R1906,R1906,20181906
Adelaide,2018,R18,2018R1805,R1805,R1805,20181805
Adelaide,2018,R17,2018R1701,R1701,R1701,20181701
Adelaide,2018,R16,2018R1602,R1602,R1602,20181602
Adelaide,2018,R15,2018R1504,R1504,R1504,20181504
Adelaide,2018,R13,2018R1305,R1305,R1305,20181305
Adelaide,2018,R12,2018R1206,R1206,R1206,20181206
Adelaide,2018,R11,2018R1109,R1109,R1109,20181109
Adelaide,2018,R10,2018R1007,R1007,R1007,20181007
Adelaide,2018,R9,2018R901,R901,R0901,20180901
Adelaide,2018,R8,2018R805,R805,R0805,20180805
Adelaide,2018,R7,2018R706,R706,R0706,20180706
Adelaide,2018,R6,2018R606,R606,R0606,20180606
Adelaide,2018,R5,2018R501,R501,R0501,20180501
Adelaide,2018,R4,2018R401,R401,R0401,20180401
Adelaide,2018,R3,2018R305,R305,R0305,20180305
Adelaide,2018,R2,2018R201,R201,R0201,20180201
Adelaide,2018,R1,2018R102,R102,R0102,20180102
Adelaide,2017,GF,2017GF01,GF01,R2801,20172801
Adelaide,2017,PF,2017PF01,PF01,R2701,20172701
Adelaide,2017,QF,2017QF01,QF01,R2401,20172401
Adelaide,2017,R23,2017R2309,R2309,R2309,20172309
Adelaide,2017,R22,2017R2201,R2201,R2201,20172201
Adelaide,2017,R21,2017R2105,R2105,R2105,20172105
Adelaide,2017,R20,2017R2009,R2009,R2009,20172009
Adelaide,2017,R19,2017R1908,R1908,R1908,20171908
Adelaide,2017,R18,2017R1801,R1801,R1801,20171801
Adelaide,2017,R17,2017R1706,R1706,R1706,20171706
Adelaide,2017,R16,2017R1601,R1601,R1601,20171601
Adelaide,2017,R15,2017R1503,R1503,R1503,20171503
Adelaide,2017,R14,2017R1401,R1401,R1401,20171401
Adelaide,2017,R12,2017R1202,R1202,R1202,20171202
Adelaide,2017,R11,2017R1102,R1102,R1102,20171102
Adelaide,2017,R10,2017R1006,R1006,R1006,20171006
Adelaide,2017,R9,2017R904,R904,R0904,20170904
Adelaide,2017,R8,2017R806,R806,R0806,20170806
Adelaide,2017,R7,2017R702,R702,R0702,20170702
Adelaide,2017,R6,2017R609,R609,R0609,20170609
Adelaide,2017,R5,2017R503,R503,R0503,20170503
