team,year,round,gameid,gameid-b,gameid-c,gameid_seq,gameid_last_1,gameid_last_2,gameid_last_3,gameid_last_4,gameid_last_5
Melbourne,2022,R1,2022R101,R101,R0101,20220101,0,0,0,0,0
Carlton,2022,R1,2022R102,R102,R0102,20220102,0,0,0,0,0
St Kilda,2022,R1,2022R103,R103,R0103,20220103,0,0,0,0,0
Geelong,2022,R1,2022R104,R104,R0104,20220104,0,0,0,0,0
Greater Western Sydney,2022,R1,2022R105,R105,R0105,20220105,0,0,0,0,0
Brisbane Lions,2022,R1,2022R106,R106,R0106,20220106,0,0,0,0,0
Hawthorn,2022,R1,2022R107,R107,R0107,20220107,0,0,0,0,0
Adelaide,2022,R1,2022R108,R108,R0108,20220108,0,0,0,0,0
West Coast,2022,R1,2022R109,R109,R0109,20220109,0,0,0,0,0
Western Bulldogs,2022,R1,2022R101,R101,R0101,20220101,0,0,0,0,0
Richmond,2022,R1,2022R102,R102,R0102,20220102,0,0,0,0,0
Collingwood,2022,R1,2022R103,R103,R0103,20220103,0,0,0,0,0
Essendon,2022,R1,2022R104,R104,R0104,20220104,0,0,0,0,0
Sydney,2022,R1,2022R105,R105,R0105,20220105,0,0,0,0,0
Port Adelaide,2022,R1,2022R106,R106,R0106,20220106,0,0,0,0,0
North Melbourne,2022,R1,2022R107,R107,R0107,20220107,0,0,0,0,0
Fremantle,2022,R1,2022R108,R108,R0108,20220108,0,0,0,0,0
Gold Coast,2022,R1,2022R109,R109,R0109,20220109,0,0,0,0,0
